DO326	deploy	mtc	Quiz	10-15
DO326	deploy	mtc	Lecture	5-10
DO326	deploy	install	Lecture	10-15
DO326	deploy	install	Quiz	10-15
DO326	migrate	run	Lecture	10-15
DO326	migrate	run	GE	20-25
DO326	migrate	hooks	GE	25-30
DO326	migrate	hooks	Lecture	5-10
DO326	deps	limit	Lecture	5-10
DO326	deps	limit	GE	15-20
DO326	deps	debug	GE	20-25
DO326	deps	debug	Lecture	5-10
DO326	automate	api	GE	15-20
DO326	automate	api	Lecture	5-10
DO326	automate	ansible	GE	45-50
DO326	automate	ansible	Lecture	10-15
DO326	downtime	data	GE	45-50
DO326	downtime	data	Lecture	10-15
DO326	downtime	network	Lecture	10-15
DO326	downtime	network	GE	50-55
DO328	intro	labenv	GE	5-10
DO328	intro	concept	Lecture	5-10
DO328	intro	concept	Quiz	5-10
DO328	intro	arch	Lecture	5-10
DO328	intro	arch	Quiz	10-15
DO328	intro	credentials	GE	10-15
DO328	install	mesh	Lecture	5-10
DO328	install	mesh	GE	10-15
DO328	observe	jaeger	GE	45-50
DO328	observe	jaeger	Lecture	20-25
DO328	observe	metrics	Lecture	25-30
DO328	observe	metrics	GE	70-75
DO328	observe	kiali	Lecture	5-10
DO328	observe	kiali	GE	30-35
DO328	traffic	deploy	Lecture	10-15
DO328	traffic	deploy	GE	20-25
DO328	traffic	route	Lecture	5-10
DO328	traffic	route	GE	25-30
DO328	traffic	external	GE	15-20
DO328	traffic	external	Lecture	5-10
DO328	release	canary	Lecture	20-25
DO328	release	canary	GE	40-45
DO328	release	dark	GE	20-25
DO328	release	dark	Lecture	5-10
DO328	chaos	error	Lecture	5
DO328	chaos	error	GE	10-15
DO328	chaos	delay	Lecture	5
DO328	chaos	delay	GE	5-10
DO328	resilience	load	Quiz	5-10
DO328	resilience	load	Lecture	5-10
DO328	resilience	timeout	Lecture	5-10
DO328	resilience	timeout	GE	15-20
DO328	resilience	retry	Lecture	5-10
DO328	resilience	retry	GE	10-15
DO328	resilience	break	GE	15-20
DO328	resilience	break	Lecture	10-15
DO328	secure	citadel	Quiz	15-20
DO328	secure	citadel	Lecture	10-15
DO328	secure	mtls	Lecture	20-25
DO328	secure	mtls	GE	15-20
DO328	secure	authc	GE	20-25
DO328	secure	authc	Lecture	10-15
DO100	pod	setup	Lecture	5-10
DO100	pod	setup	GE	50-55
DO100	pod	setup	Lecture	5-10
DO100	pod	setup	GE	50-55
DO100	pod	kubectl	Lecture	10-15
DO100	pod	kubectl	GE	25-30
DO100	pod	kubectl	Lecture	10-15
DO100	pod	kubectl	GE	25-30
DO100	deploy	manage	Lecture	10-15
DO100	deploy	manage	GE	15-20
DO100	deploy	manage	Lecture	10-15
DO100	deploy	manage	GE	15-20
DO100	network	service	GE	15-20
DO100	network	service	Lecture	10-15
DO100	network	service	GE	15-20
DO100	network	service	Lecture	10-15
DO100	network	ingress	GE	15-20
DO100	network	ingress	Lecture	5-10
DO100	network	ingress	GE	15-20
DO100	network	ingress	Lecture	5-10
CL260	intro	personas	Lecture	5-10
CL260	intro	arch	GE	5-10
CL260	intro	arch	Lecture	20-25
CL260	intro	interface	GE	10-15
CL260	intro	interface	Lecture	5-10
CL260	deploy	deploy	Lecture	10-15
CL260	deploy	deploy	GE	10-15
CL260	deploy	expand	GE	10-15
CL260	deploy	expand	Lecture	5-10
CL260	configure	settings	Lecture	10-15
CL260	configure	settings	GE	15-20
CL260	configure	monitor	Lecture	10-15
CL260	configure	monitor	GE	5-10
CL260	configure	network	Lecture	10-15
CL260	configure	network	GE	10-15
CL260	component	osd	GE	20-25
CL260	component	osd	Lecture	20-25
CL260	component	pool	GE	20-25
CL260	component	pool	Lecture	20-25
CL260	component	auth	Lecture	20-25
CL260	component	auth	GE	10-15
CL260	map	crush	GE	20-25
CL260	map	crush	Lecture	35-40
CL260	map	osd	GE	10-15
CL260	map	osd	Lecture	5-10
CL260	block	devices	Lecture	15-20
CL260	block	devices	GE	25-30
CL260	block	snapshots	Lecture	10-15
CL260	block	snapshots	GE	15-20
CL260	block	import	GE	25-30
CL260	block	import	Lecture	5-10
CL260	mirror	mirrors	GE	25-30
CL260	mirror	mirrors	Lecture	10-15
CL260	mirror	iscsi	Quiz	5-10
CL260	mirror	iscsi	Lecture	10-15
CL260	object	radosgw	Lecture	15-20
CL260	object	radosgw	GE	10-15
CL260	object	multisite	Lecture	20-25
CL260	object	multisite	GE	15-20
CL260	api	s3	GE	5-10
CL260	api	s3	Lecture	15-20
CL260	api	swift	GE	5-10
CL260	api	swift	Lecture	10-15
CL260	fileshare	deploy	Lecture	35-40
CL260	fileshare	deploy	GE	20-25
CL260	fileshare	manage	Lecture	15-20
CL260	fileshare	manage	GE	20-25
CL260	cluster	admin	Lecture	45-50
CL260	cluster	admin	GE	15-20
CL260	cluster	maint	Lecture	15-20
CL260	cluster	maint	GE	15-20
CL260	tuning	optimize	Lecture	25-30
CL260	tuning	optimize	GE	25-30
CL260	tuning	perf	GE	10-15
CL260	tuning	perf	Lecture	15-20
CL260	tuning	troubleshoot	Lecture	35-40
CL260	tuning	troubleshoot	GE	10-15
CL260	cloud	openstackarch	Quiz	5-10
CL260	cloud	openstackarch	Lecture	20-25
CL260	cloud	openstackstorage	Quiz	5-10
CL260	cloud	openstackstorage	Lecture	10-15
CL260	cloud	openshiftarch	Lecture	15-20
CL260	cloud	openshiftarch	Quiz	5-10
CL260	cloud	openshiftstorage	Quiz	5-10
CL260	cloud	openshiftstorage	Lecture	15-20
DO101	devenv	vscode	GE	10-15
DO101	devenv	vscode	Lecture	15-20
DO101	devenv	git	Lecture	25-30
DO101	devenv	git	GE	30-35
DO101	devenv	versioning	GE	20-25
DO101	devenv	versioning	Lecture	25-30
DO101	deploy	app	Lecture	10-15
DO101	deploy	app	GE	10-15
DO101	application	update	GE	35-40
DO101	application	update	Lecture	5-10
DO101	application	secrets	GE	35-40
DO101	application	secrets	Lecture	5-10
DO101	application	database	Lecture	5-10
DO101	application	database	GE	30-35
DO101	scale	app	Lecture	5-10
DO101	scale	app	GE	30-35
DO101	troubleshoot	app	Lecture	10-15
DO101	troubleshoot	app	GE	30-35
DO480	multicluster	intro	Lecture	10-15
DO480	multicluster	acm	GE	20-25
DO480	multicluster	acm	Lecture	10-15
CL110	intro	personas	Lecture	10-15
CL110	intro	launching	Lecture	10-15
CL110	intro	launching	GE	20-25
CL110	intro	services	Lecture	15-20
CL110	intro	services	GE	5-10
CL110	intro	overcloud	Quiz	5-10
CL110	intro	overcloud	Lecture	5-10
CL110	project	purpose	Lecture	15-20
CL110	project	purpose	GE	15-20
CL110	project	access	GE	15-20
CL110	project	access	Lecture	20-25
CL110	project	quotas	GE	15-20
CL110	project	quotas	Lecture	5-10
CL110	networking	tcpip	Lecture	20-25
CL110	networking	sdn	Lecture	15-20
CL110	networking	types	Lecture	15-20
CL110	networking	types	GE	15-20
CL110	nonpublic	flavor	Lecture	30-35
CL110	nonpublic	flavor	GE	15-20
CL110	nonpublic	networks	GE	10-15
CL110	nonpublic	networks	Lecture	5-10
CL110	nonpublic	launch	GE	10-15
CL110	nonpublic	launch	Lecture	5-10
CL110	vmdisks	ephemeral	GE	15-20
CL110	vmdisks	ephemeral	Lecture	15-20
CL110	vmdisks	persistent	GE	20-25
CL110	vmdisks	persistent	Lecture	10-15
